# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 475 7685 1730 1539
p 2 0 367 7793 1601 1433
p 2 0 377 7783 1650 1449
p 2 0 395 7765 1632 1463
p 2 0 338 7822 1565 1407
p 2 0 544 7616 1923 1595
p 2 0 508 7652 1834 1564
p 2 521 2043 5596 78298 8097
p 2 0 1888 6272 4702 2957
p 2 0 3758 4402 10511 4868
p 2 583 3466 4111 87692 9842
p 2 0 2317 5843 5387 3359
p 2 0 1599 6561 3219 2596
p 2 627 2667 4866 86758 9412
p 2 0 2031 6129 4983 3091
p 2 0 1897 6263 3777 2898
p 2 696 2720 4744 89796 10064
p 2 0 2487 5673 5929 3734
p 2 0 1460 6700 3227 2524
p 2 726 2855 4579 97599 10613
p 2 0 1946 6214 5045 3083
p 2 0 1621 6539 3456 2665
p 2 802 3126 4232 105605 11514
p 2 26 6483 1651 25637 8511
p 2 2 6652 1506 28018 9147
p 2 1170 6918 72 135611 18267
p 2 0 7012 1148 32258 10078
p 2 1 6677 1482 31060 9571
p 2 811 7334 15 131360 17844
p 2 0 7056 1104 30160 10206
p 2 0 6460 1700 27230 9429
p 2 1293 6845 22 138383 19081
p 2 1 6994 1165 30891 9875
p 2 4 6492 1664 27080 9201
p 2 257 7856 47 112945 15759
p 2 0 7305 855 27349 9843
p 2 1 6628 1531 25259 9155
p 2 229 7873 58 112031 14940
p 2 9 7184 967 29949 10201
p 2 12 6862 1286 29593 9628
i 2 8160 0 0 79561 26067
p 2 0 2942 5218 4256 3690
p 2 0 3201 4959 4356 3878
i 2 8160 0 0 124282 27798
p 2 0 2698 5462 4262 3502
p 2 0 3005 5155 4296 3720
i 2 8160 0 0 148795 28840
p 2 0 3419 4741 5111 4128
p 2 0 3306 4854 4757 4021
p 2 3191 4154 815 155538 23553
p 2 0 4544 3616 8101 5734
p 2 0 3035 5125 4829 3988
p 2 2231 4812 1117 148866 21001
p 2 0 4400 3760 8348 5750
p 2 0 3010 5150 4562 3796
p 2 2021 5075 1064 142782 20193
p 2 0 4569 3591 8201 5858
p 2 0 4611 3549 8630 5436
i 2 8160 0 0 151955 28990
p 2 0 3017 5143 4531 3776
p 2 0 2710 5450 4013 3529
p 2 2970 4522 668 165621 24847
i 2 8160 0 0 66312 25627
p 2 0 3415 4745 5371 4053
p 2 0 2774 5386 4295 3480
p 2 863 2861 4436 29905 8610
p 2 0 2653 5507 4387 3478
p 2 0 1991 6169 3420 2848
p 2 812 2055 5293 30185 7728
p 2 0 2295 5865 4272 3232
p 2 0 2235 5925 3951 3081
i 2 8160 0 0 96511 26299
p 2 0 3049 5111 4809 3629
p 2 2337 4687 1136 95972 18528
p 2 0 4073 4087 7031 5203
p 2 1603 5011 1546 89164 16691
p 2 0 4372 3788 8332 5716
p 2 1444 5305 1411 90910 16488
p 2 0 4524 3636 7862 5599
p 2 521 5889 1750 72688 13145
p 2 0 4710 3450 8327 5965
p 2 454 5568 2138 71768 12572
p 2 0 4685 3475 8417 5849
i 2 8160 0 0 83096 25172
p 2 0 2779 5381 4384 3669
p 2 0 3314 4846 4934 4166
p 2 0 2972 5188 4687 3856
p 2 0 1953 6207 3462 2883
p 2 0 1767 6393 3177 2727
p 2 0 1180 6980 2461 2163
p 2 0 1258 6902 2637 2255
p 2 0 931 7229 2221 1964
p 2 0 817 7343 2137 1848
p 2 0 2530 5630 4552 3476
p 2 0 2274 5886 4553 3236
p 2 0 2807 5353 4798 3815
p 2 0 1811 6349 3606 2820
p 2 0 1859 6301 3293 2837
p 2 0 1396 6764 2799 2378
p 2 0 1302 6858 2818 2312
p 2 0 2216 5944 3694 3165
p 2 0 1908 6252 4044 2873
p 2 0 3747 4413 6088 4726
p 2 0 2422 5738 5247 3476
p 2 0 3594 4566 5631 4550
p 2 0 4035 4125 8270 5093
p 2 0 4408 3752 6551 5203
p 2 0 1685 6475 3142 2656
p 2 0 2076 6084 3398 2975
p 2 0 1176 6984 2595 2154
p 2 0 1555 6605 2919 2513
p 2 0 1739 6421 3363 2666
p 2 0 2002 6158 3552 2905
p 2 0 1092 7068 2388 2091
p 2 0 1110 7050 2407 2095
p 2 0 920 7240 2191 1942
p 2 0 1068 7092 2362 2056
p 2 0 1797 6363 3359 2729
p 2 0 2156 6004 4540 3133
p 2 0 3356 4804 7065 4754
p 2 0 3454 4706 8556 4796
p 2 0 4216 3944 8148 5585
p 2 0 3629 4531 8068 4862
p 2 0 4765 3395 8571 5962
p 2 0 3011 5149 5361 4001
p 2 0 2854 5306 4776 3837
p 2 0 2023 6137 3775 3041
p 2 0 2127 6033 4134 3173
p 2 0 3423 4737 6255 4644
p 2 0 3250 4910 7490 4514
p 2 0 3874 4286 7791 5345
i 2 8160 0 0 114130 27174
p 2 0 3941 4219 6241 4773
p 2 0 3369 4791 6333 4292
p 2 0 2220 5940 4020 3125
p 2 0 2176 5984 4716 3138
p 2 0 1824 6336 3955 2808
p 2 0 2997 5163 7001 4061
p 2 0 2442 5718 4532 3341
p 2 0 2146 6014 4860 3156
p 2 0 1357 6803 2783 2325
p 2 0 1299 6861 3683 2359
p 2 0 1339 6821 2973 2316
p 2 0 1488 6672 4054 2528
p 2 0 1569 6591 2995 2525
p 2 0 1010 7150 3268 2090
p 2 0 932 7228 2262 1947
p 2 0 831 7329 3034 1896
p 2 0 828 7332 2127 1840
p 2 0 924 7236 3343 2048
p 2 0 988 7172 2627 2030
p 2 0 1832 6328 4534 2827
p 2 0 1937 6223 3810 2874
p 2 0 4453 3707 8908 5423
p 2 0 2520 5640 4388 3382
p 2 0 2687 5473 5602 3583
p 2 0 2765 5395 5002 3648
p 2 0 2386 5774 5311 3355
p 2 0 3035 5125 5242 3965
p 2 0 2214 5946 6023 3293
p 2 0 2569 5591 4783 3598
p 2 0 1484 6676 4030 2564
p 2 0 2039 6121 3571 2944
p 2 0 1193 6967 3587 2255
p 2 0 1451 6709 2841 2406
p 2 0 1999 6161 4842 2997
p 2 0 1800 6360 3417 2724
p 2 0 1384 6776 3734 2437
p 2 0 1205 6955 2662 2196
p 2 0 1189 6971 3429 2248
p 2 0 1065 7095 2324 2026
p 2 0 972 7188 3247 2053
p 2 0 1211 6949 2579 2183
p 2 0 1393 6767 3815 2439
p 2 0 1838 6322 3319 2747
p 2 0 1103 7057 3622 2182
p 2 0 1316 6844 2843 2331
p 2 0 911 7249 3335 2043
p 2 0 922 7238 2197 1923
p 2 0 897 7263 3138 1961
p 2 0 973 7187 2444 1982
p 2 0 1848 6312 5075 2961
p 2 0 1885 6275 3907 2804
p 2 0 2004 6156 4568 3021
p 2 0 1328 6832 3066 2351
p 2 0 1598 6562 3912 2624
p 2 0 800 7360 2067 1840
p 2 0 957 7203 3191 2031
p 2 0 1111 7049 2567 2149
p 2 0 849 7311 3067 1962
p 2 0 1396 6764 2929 2378
p 2 0 1144 7016 3657 2224
p 2 0 1340 6820 2708 2327
p 2 0 987 7173 3193 2063
