# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 2059 6101 4513 2977
p 2 0 1267 6893 2657 2201
p 2 0 3166 4994 17017 4583
p 2 0 2048 6112 4281 2928
p 2 0 1581 6579 2986 2449
p 2 0 2841 5319 17762 4398
p 2 0 1806 6354 4015 2724
p 2 0 1002 7158 2360 1965
p 2 0 3106 5054 19410 4684
p 2 0 1907 6253 4072 2805
p 2 0 5012 3148 12912 6179
i 2 8160 0 0 102425 28122
p 2 0 4338 3822 6193 4998
p 2 0 3966 4194 5239 4511
p 2 0 2218 5942 3568 3061
p 2 0 2075 6085 3290 2904
p 2 0 1239 6921 2485 2193
p 2 0 1375 6785 2589 2284
p 2 0 1196 6964 2419 2142
p 2 0 935 7225 2144 1905
p 2 0 976 7184 2457 1983
p 2 0 1199 6961 2535 2139
p 2 0 1422 6738 2659 2327
p 2 0 911 7249 2120 1891
p 2 0 935 7225 2144 1910
p 2 0 774 7386 1944 1767
p 2 0 893 7267 2093 1865
p 2 0 731 7429 1976 1743
p 2 0 842 7318 2015 1810
p 2 0 1120 7040 2415 2064
p 2 0 1387 6773 2647 2295
p 2 0 767 7393 1962 1769
p 2 0 926 7234 2134 1916
p 2 0 666 7494 1862 1679
p 2 0 777 7383 1965 1759
p 2 0 546 7614 1724 1579
p 2 0 895 7265 2086 1859
p 2 0 589 7571 1780 1608
p 2 0 771 7389 2099 1773
p 2 0 687 7473 1910 1703
p 2 0 1011 7149 2151 1954
p 2 0 733 7427 1886 1730
p 2 0 820 7340 1968 1791
p 2 0 638 7522 1777 1643
p 2 0 854 7306 1994 1821
p 2 0 559 7601 1711 1570
p 2 0 660 7500 1827 1664
p 2 0 986 7174 2280 1948
p 2 0 1054 7106 2222 1996
p 2 0 806 7354 1980 1779
p 2 0 812 7348 1949 1781
p 2 0 687 7473 1812 1680
p 2 0 699 7461 1820 1697
p 2 0 454 7706 1612 1499
p 2 0 741 7419 1867 1725
p 2 0 978 7182 2173 1923
i 2 8160 0 0 77167 25833
p 2 0 2521 5639 3948 3108
p 2 0 6423 1737 16489 7221
p 2 0 3452 4708 6943 4175
p 2 0 5461 2699 17434 6788
p 2 0 3086 5074 5089 3694
p 2 0 5378 2782 17511 6748
p 2 0 3712 4448 7223 4393
p 2 0 5208 2952 16283 6437
p 2 0 3528 4632 5836 4081
p 2 28 5077 3055 16846 6404
p 2 0 3122 5038 5232 3751
p 2 0 1927 6233 3297 2691
p 2 5 5029 3126 15053 6177
p 2 0 2855 5305 5077 3562
p 2 0 2250 5910 3619 2920
p 2 3 4785 3372 14992 6015
p 2 0 2883 5277 4828 3524
p 2 0 1619 6541 2910 2424
p 2 11 5416 2733 17725 6810
