# keyframe format v1
fps 0

0 I -1
303 I -1
375 I -1
417 I -1
456 I -1
486 I -1
513 I -1
549 I -1
575 I -1
591 I -1
639 I -1
679 I -1
680 I -1
681 I -1
682 I -1
702 I -1
741 I -1
806 I -1
825 I -1
874 I -1
881 I -1
930 I -1
1007 I -1
1179 I -1
1209 I -1
1248 I -1
1269 I -1
1296 I -1
1334 I -1
1350 I -1
1386 I -1
1476 I -1
1566 I -1
1665 I -1
1707 I -1
1759 I -1
1814 I -1
1904 I -1
1985 I -1
2033 I -1
2159 I -1
